Title;Year;Runtime;imdbID;imdbRating
The Lego Movie;2014;100;tt1490017;7.8
The Shawshank Redemption;1994;142;tt0111161;9.3
The Godfather;1972;175;tt0068646;9.2
The Godfather: Part II;1974;202;tt0071562;9
The Dark Knight;2008;152;tt0468569;9
12 Angry Men;1957;96;tt0050083;8.9
Schindler's List;1993;195;tt0108052;8.9
The Lord of the Rings: The Return of the King;2003;201;tt0167260;8.9
Pulp Fiction;1994;154;tt0110912;8.9
The Good, the Bad and the Ugly;1966;178;tt0060196;8.9
Fight Club;1999;139;tt0137523;8.8
The Lord of the Rings: The Fellowship of the Ring;2001;178;tt0120737;8.8
Forrest Gump;1994;142;tt0109830;8.8
Star Wars: Episode V - The Empire Strikes Back;1980;124;tt0080684;8.7
Inception;2010;148;tt1375666;8.8
The Lord of the Rings: The Two Towers;2002;179;tt0167261;8.7
Avengers: Endgame;2019;181;tt4154796;8.9
One Flew Over the Cuckoo's Nest;1975;133;tt0073486;8.7
Goodfellas;1990;146;tt0099685;8.7
The Matrix;1999;136;tt0133093;8.7
Seven Samurai;1954;207;tt0047478;8.7
Se7en;1995;127;tt0114369;8.6
City of God;2002;130;tt0317248;8.6
Star Wars: Episode IV - A New Hope;1977;121;tt0076759;8.6
The Silence of the Lambs;1991;118;tt0102926;8.6
It's a Wonderful Life;1946;130;tt0038650;8.6
Life Is Beautiful;1997;116;tt0118799;8.6
Spirited Away;2001;125;tt0245429;8.6
Saving Private Ryan;1998;169;tt0120815;8.6
The Usual Suspects;1995;106;tt0114814;8.6
Leon: The Professional;1994;110;tt0110413;8.6
The Green Mile;1999;189;tt0120689;8.6
Interstellar;2014;169;tt0816692;8.6
Psycho;1960;109;tt0054215;8.5
American History X;1998;119;tt0120586;8.5
City Lights;1931;87;tt0021749;8.5
Casablanca;1942;102;tt0034583;8.5
Once Upon a Time in the West;1968;165;tt0064116;8.5
The Pianist;2002;150;tt0253474;8.5
Modern Times;1936;87;tt0027977;8.5
The Intouchables;2011;112;tt1675434;8.5
The Departed;2006;151;tt0407887;8.5
Back to the Future;1985;116;tt0088763;8.5
Terminator 2: Judgment Day;1991;137;tt0103064;8.5
Whiplash;2014;106;tt2582802;8.5
The Lion King;1994;88;tt0110357;8.5
Rear Window;1954;112;tt0047396;8.5
Gladiator;2000;155;tt0172495;8.5
Raiders of the Lost Ark;1981;115;tt0082971;8.5
The Prestige;2006;130;tt0482571;8.5
Apocalypse Now;1979;147;tt0078788;8.5
Memento;2000;113;tt0209144;8.5
Alien;1979;117;tt0078748;8.5
Grave of the Fireflies;1988;89;tt0095327;8.5
Cinema Paradiso;1988;155;tt0095765;8.5
Spider-Man: Into the Spider-Verse;2018;117;tt4633694;8.5
The Great Dictator;1940;125;tt0032553;8.5
Sunset Boulevard;1950;110;tt0043014;8.4
The Lives of Others;2006;137;tt0405094;8.4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964;95;tt0057012;8.4
Avengers: Infinity War;2018;149;tt4154756;8.5
Paths of Glory;1957;88;tt0050825;8.4
Django Unchained;2012;165;tt1853728;8.4
The Shining;1980;146;tt0081505;8.4
WALL-E;2008;98;tt0910970;8.4
Princess Mononoke;1997;134;tt0119698;8.4
Witness for the Prosecution;1957;116;tt0051201;8.4
Oldboy;2003;120;tt0364569;8.4
Aliens;1986;137;tt0090605;8.4
The Dark Knight Rises;2012;164;tt1345836;8.4
American Beauty;1999;122;tt0169547;8.4
Once Upon a Time in America;1984;229;tt0087843;8.4
Coco;2017;105;tt2380307;8.4
Das Boot;1981;149;tt0082096;8.4
Citizen Kane;1941;119;tt0033467;8.3
Braveheart;1995;178;tt0112573;8.4
Vertigo;1958;128;tt0052357;8.3
North by Northwest;1959;136;tt0053125;8.3
Reservoir Dogs;1992;99;tt0105236;8.3
Your Name;2015;22;tt6033368;8.9
Star Wars: Episode VI - Return of the Jedi;1983;131;tt0086190;8.3
M;1931;99;tt0022100;8.3
Amadeus;1984;160;tt0086879;8.3
Requiem for a Dream;2000;102;tt0180093;8.3
Dangal;2016;161;tt5074352;8.5
3 Idiots;2009;170;tt1187043;8.4
2001: A Space Odyssey;1968;149;tt0062622;8.3
Toy Story;1995;81;tt0114709;8.3
Like Stars on Earth;2007;165;tt0986264;8.4
Eternal Sunshine of the Spotless Mind;2004;108;tt0338013;8.3
Lawrence of Arabia;1962;216;tt0056172;8.3
A Clockwork Orange;1971;136;tt0066921;8.3
Singin' in the Rain;1952;103;tt0045152;8.3
Amelie;2001;122;tt0211915;8.3
Double Indemnity;1944;107;tt0036775;8.3
Inglourious Basterds;2009;153;tt0361748;8.3
Taxi Driver;1976;114;tt0075314;8.3
Full Metal Jacket;1987;116;tt0093058;8.3
To Kill a Mockingbird;1962;129;tt0056592;8.3
Bicycle Thieves;1948;89;tt0040522;8.3
Good Will Hunting;1997;126;tt0119217;8.3
The Kid;1921;68;tt0012349;8.3
The Sting;1973;129;tt0070735;8.3
The Hunt;2012;115;tt2106476;8.3
Toy Story 3;2010;103;tt0435761;8.3
Snatch;2000;102;tt0208092;8.3
Scarface;1983;170;tt0086250;8.3
For a Few Dollars More;1965;132;tt0059578;8.3
The Apartment;1960;125;tt0053604;8.3
Metropolis;1927;153;tt0017136;8.3
Monty Python and the Holy Grail;1975;91;tt0071853;8.3
L.A. Confidential;1997;138;tt0119488;8.3
A Separation;2011;123;tt1832382;8.3
Indiana Jones and the Last Crusade;1989;127;tt0097576;8.2
Up;2009;96;tt1049413;8.2
Rashomon;1950;88;tt0042876;8.3
All About Eve;1950;138;tt0042192;8.3
Batman Begins;2005;140;tt0372784;8.2
